State,County,Soil_Texture,Soil_pH,Organic_Matter(%),Soil_Depth(cm),Drainage_Class
IOWA,CALHOUN,Silt,6.61,4.07,50,Poorly Drained
IOWA,CARROLL,Silt,6.01,3.0,50,Well Drained
IOWA,CRAWFORD,Sandy Loam,6.1,2.74,50,Moderately Drained
IOWA,GREENE,Sandy Loam,6.96,2.0,50,Well Drained
IOWA,HARRISON,Silt,7.2,3.19,100,Moderately Drained
IOWA,IDA,Sandy Loam,6.84,2.1,50,Well Drained
IOWA,MONONA,Sandy Loam,7.12,4.61,100,Poorly Drained
IOWA,SAC,Clay,7.03,1.86,50,Well Drained
IOWA,SHELBY,Sandy Loam,5.8,4.54,75,Well Drained
IOWA,WOODBURY,Loam,6.35,3.24,75,Poorly Drained
KANSAS,OTHER COUNTIES,Sandy Loam,5.81,4.31,50,Well Drained
KANSAS,BARTON,Sandy Loam,5.97,3.85,125,Moderately Drained
KANSAS,DICKINSON,Silt,7.24,3.79,75,Well Drained
KANSAS,ELLSWORTH,Loam,6.45,2.3,100,Well Drained
KANSAS,LINCOLN,Sandy Loam,6.57,1.94,50,Well Drained
KANSAS,MARION,Sandy Loam,5.86,1.84,100,Poorly Drained
KANSAS,MCPHERSON,Clay,6.12,4.43,125,Well Drained
KANSAS,RICE,Sandy Loam,5.96,4.28,50,Well Drained
KANSAS,RUSSELL,Sandy Loam,5.91,2.76,75,Moderately Drained
KANSAS,SALINE,Clay,6.78,1.53,100,Well Drained
KANSAS,CHASE,Silt,6.01,2.53,75,Well Drained
KANSAS,COFFEY,Sandy Loam,6.76,3.48,75,Well Drained
KANSAS,DOUGLAS,Clay,5.62,2.82,50,Well Drained
KANSAS,FRANKLIN,Loam,5.78,4.12,100,Moderately Drained
KANSAS,GEARY,Silt,6.05,4.99,125,Moderately Drained
KANSAS,JOHNSON,Loam,6.69,1.76,75,Poorly Drained
KANSAS,LYON,Loam,6.85,2.84,50,Well Drained
KANSAS,MIAMI,Clay,6.39,2.72,50,Poorly Drained
KANSAS,MORRIS,Sandy Loam,6.39,2.22,125,Poorly Drained
KANSAS,OSAGE,Clay,6.95,1.79,50,Well Drained
KANSAS,SHAWNEE,Clay,5.53,1.26,75,Moderately Drained
KANSAS,WABAUNSEE,Clay,6.18,4.55,50,Moderately Drained
KANSAS,CLOUD,Clay,7.14,2.68,100,Well Drained
KANSAS,MITCHELL,Silt,6.71,2.99,100,Well Drained
KANSAS,OTTAWA,Sandy Loam,6.17,4.67,75,Moderately Drained
KANSAS,ROOKS,Loam,7.31,4.11,100,Well Drained
KANSAS,SMITH,Loam,7.05,1.52,125,Well Drained
KANSAS,ATCHISON,Sandy Loam,6.03,3.26,50,Well Drained
KANSAS,BROWN,Loam,6.79,2.77,75,Moderately Drained
KANSAS,JACKSON,Sandy Loam,6.69,4.19,125,Poorly Drained
KANSAS,JEFFERSON,Loam,6.3,3.9,50,Poorly Drained
KANSAS,LEAVENWORTH,Clay,6.23,3.76,125,Well Drained
KANSAS,MARSHALL,Loam,6.19,2.36,75,Moderately Drained
KANSAS,NEMAHA,Sandy Loam,6.73,4.22,75,Well Drained
KANSAS,RILEY,Sandy Loam,6.38,1.21,125,Moderately Drained
KANSAS,CHEYENNE,Sandy Loam,7.16,1.64,50,Well Drained
KANSAS,DECATUR,Sandy Loam,6.84,2.34,100,Moderately Drained
KANSAS,GRAHAM,Sandy Loam,5.64,1.31,100,Moderately Drained
KANSAS,RAWLINS,Silt,6.78,1.94,125,Poorly Drained
KANSAS,SHERIDAN,Silt,6.04,4.32,75,Well Drained
KANSAS,SHERMAN,Loam,6.69,4.79,50,Poorly Drained
KANSAS,THOMAS,Sandy Loam,6.86,2.22,50,Poorly Drained
KANSAS,EDWARDS,Loam,5.96,2.06,75,Moderately Drained
KANSAS,HARPER,Sandy Loam,6.41,2.12,100,Well Drained
KANSAS,KINGMAN,Sandy Loam,5.88,2.11,50,Moderately Drained
KANSAS,KIOWA,Silt,5.6,1.14,125,Moderately Drained
KANSAS,PRATT,Silt,6.26,4.71,100,Moderately Drained
KANSAS,RENO,Clay,6.23,1.85,125,Well Drained
KANSAS,SEDGWICK,Silt,7.49,2.68,100,Well Drained
KANSAS,SUMNER,Clay,6.39,1.04,75,Moderately Drained
KANSAS,ALLEN,Clay,6.17,4.43,125,Well Drained
KANSAS,BOURBON,Clay,6.66,3.92,125,Moderately Drained
KANSAS,BUTLER,Clay,5.68,4.79,75,Well Drained
KANSAS,CHAUTAUQUA,Clay,7.42,4.13,125,Well Drained
KANSAS,CHEROKEE,Loam,6.77,2.25,100,Poorly Drained
KANSAS,COWLEY,Silt,7.01,1.99,50,Moderately Drained
KANSAS,CRAWFORD,Clay,5.84,3.79,50,Poorly Drained
KANSAS,ELK,Sandy Loam,6.32,2.46,75,Poorly Drained
KANSAS,GREENWOOD,Silt,6.35,3.26,100,Moderately Drained
KANSAS,LABETTE,Silt,7.14,1.03,125,Moderately Drained
KANSAS,MONTGOMERY,Clay,5.5,1.25,125,Well Drained
KANSAS,NEOSHO,Loam,6.1,3.14,50,Moderately Drained
KANSAS,WILSON,Clay,7.46,3.26,125,Poorly Drained
KANSAS,GRANT,Loam,6.45,4.01,50,Poorly Drained
KANSAS,GRAY,Sandy Loam,6.27,1.53,75,Moderately Drained
KANSAS,HASKELL,Silt,5.74,3.05,125,Poorly Drained
KANSAS,MEADE,Sandy Loam,7.45,1.78,100,Well Drained
KANSAS,SEWARD,Loam,5.54,1.37,125,Poorly Drained
KANSAS,STEVENS,Loam,6.97,2.64,50,Well Drained
KANSAS,GOVE,Sandy Loam,7.04,1.65,75,Poorly Drained
KANSAS,GREELEY,Loam,5.99,1.89,50,Well Drained
KANSAS,LANE,Sandy Loam,6.84,2.27,125,Well Drained
KANSAS,LOGAN,Silt,5.69,2.04,50,Moderately Drained
KANSAS,WALLACE,Sandy Loam,6.01,1.35,50,Well Drained
KANSAS,WICHITA,Silt,7.08,1.36,75,Moderately Drained
KENTUCKY,OTHER COUNTIES,Sandy Loam,7.23,1.77,100,Poorly Drained
KENTUCKY,BATH,Loam,6.72,1.2,125,Poorly Drained
KENTUCKY,BOURBON,Sandy Loam,6.51,3.51,75,Poorly Drained
KENTUCKY,CLARK,Loam,5.82,2.15,100,Well Drained
KENTUCKY,FAYETTE,Sandy Loam,5.63,2.12,50,Poorly Drained
KENTUCKY,FLEMING,Sandy Loam,5.74,2.33,100,Poorly Drained
KENTUCKY,GARRARD,Clay,5.95,3.65,50,Moderately Drained
KENTUCKY,HARRISON,Loam,6.18,4.48,50,Moderately Drained
KENTUCKY,LINCOLN,Clay,6.26,4.04,75,Poorly Drained
KENTUCKY,MADISON,Loam,6.19,3.91,50,Poorly Drained
KENTUCKY,MASON,Clay,5.98,2.94,75,Well Drained
KENTUCKY,MERCER,Silt,6.52,3.78,100,Well Drained
KENTUCKY,MONTGOMERY,Sandy Loam,7.15,3.21,100,Poorly Drained
KENTUCKY,SCOTT,Loam,6.06,1.87,50,Moderately Drained
KENTUCKY,SHELBY,Loam,7.38,1.83,75,Poorly Drained
KENTUCKY,WASHINGTON,Sandy Loam,7.25,2.19,50,Well Drained
KENTUCKY,WOODFORD,Loam,5.82,4.64,75,Moderately Drained
KENTUCKY,ADAIR,Loam,7.07,3.19,75,Moderately Drained
KENTUCKY,BARREN,Clay,6.65,3.94,75,Well Drained
KENTUCKY,BRECKINRIDGE,Loam,6.63,2.39,100,Poorly Drained
KENTUCKY,BULLITT,Silt,6.28,2.63,75,Poorly Drained
KENTUCKY,BUTLER,Silt,6.5,1.5,100,Poorly Drained
KENTUCKY,CASEY,Sandy Loam,6.29,1.69,75,Well Drained
KENTUCKY,CLINTON,Loam,6.58,4.31,100,Moderately Drained
KENTUCKY,CUMBERLAND,Sandy Loam,6.76,3.34,125,Well Drained
KENTUCKY,EDMONSON,Silt,6.85,2.35,100,Poorly Drained
KENTUCKY,GRAYSON,Loam,6.56,4.21,100,Well Drained
KENTUCKY,GREEN,Loam,6.94,1.99,50,Moderately Drained
KENTUCKY,HARDIN,Sandy Loam,5.78,4.9,75,Well Drained
KENTUCKY,HART,Silt,5.92,2.38,125,Poorly Drained
KENTUCKY,LARUE,Loam,7.14,2.35,50,Moderately Drained
KENTUCKY,MARION,Sandy Loam,6.15,2.25,75,Well Drained
KENTUCKY,MEADE,Silt,5.55,1.49,125,Well Drained
KENTUCKY,METCALFE,Sandy Loam,5.81,1.44,125,Moderately Drained
KENTUCKY,MONROE,Clay,5.95,3.59,125,Moderately Drained
KENTUCKY,RUSSELL,Loam,7.41,4.5,75,Poorly Drained
KENTUCKY,TAYLOR,Clay,6.65,4.16,125,Moderately Drained
KENTUCKY,WARREN,Silt,7.37,1.56,125,Poorly Drained
KENTUCKY,BREATHITT,Clay,6.65,3.18,50,Well Drained
KENTUCKY,CARTER,Clay,6.46,1.42,100,Poorly Drained
KENTUCKY,ESTILL,Silt,6.13,1.18,75,Well Drained
KENTUCKY,JACKSON,Sandy Loam,6.71,3.63,100,Moderately Drained
KENTUCKY,KNOX,Clay,5.78,3.14,50,Well Drained
KENTUCKY,LAUREL,Sandy Loam,7.3,1.33,100,Moderately Drained
KENTUCKY,LEWIS,Clay,7.16,1.14,125,Well Drained
KENTUCKY,MORGAN,Sandy Loam,6.14,4.96,125,Well Drained
KENTUCKY,ROWAN,Silt,7.41,1.12,75,Well Drained
KENTUCKY,WAYNE,Clay,7.15,2.78,75,Well Drained
KENTUCKY,CALDWELL,Silt,6.83,3.02,75,Poorly Drained
KENTUCKY,CHRISTIAN,Clay,5.74,1.47,50,Well Drained
KENTUCKY,CRITTENDEN,Silt,6.46,1.68,75,Poorly Drained
KENTUCKY,DAVIESS,Silt,6.51,2.41,50,Moderately Drained
KENTUCKY,HANCOCK,Clay,5.97,4.05,125,Moderately Drained
KENTUCKY,HENDERSON,Clay,5.66,3.03,100,Poorly Drained
KENTUCKY,MCLEAN,Clay,7.05,3.55,125,Moderately Drained
KENTUCKY,MUHLENBERG,Loam,5.74,4.94,125,Moderately Drained
KENTUCKY,OHIO,Sandy Loam,6.69,4.07,125,Well Drained
KENTUCKY,SIMPSON,Loam,7.37,2.74,75,Well Drained
KENTUCKY,TODD,Loam,7.25,2.79,75,Well Drained
KENTUCKY,UNION,Silt,6.06,3.48,75,Poorly Drained
KENTUCKY,WEBSTER,Clay,7.2,3.66,100,Poorly Drained
KENTUCKY,KENTON,Sandy Loam,5.5,3.0,75,Moderately Drained
KENTUCKY,OLDHAM,Silt,5.54,3.58,50,Well Drained
KENTUCKY,OWEN,Loam,6.71,1.09,125,Poorly Drained
KENTUCKY,TRIMBLE,Clay,6.23,2.72,100,Poorly Drained
KENTUCKY,BALLARD,Silt,6.27,2.12,100,Well Drained
KENTUCKY,CALLOWAY,Clay,6.63,1.52,100,Poorly Drained
KENTUCKY,CARLISLE,Silt,5.88,1.4,100,Well Drained
KENTUCKY,FULTON,Clay,5.92,3.41,100,Moderately Drained
KENTUCKY,GRAVES,Loam,6.47,3.09,50,Moderately Drained
KENTUCKY,HICKMAN,Sandy Loam,7.01,2.01,125,Moderately Drained
KENTUCKY,LIVINGSTON,Loam,6.74,2.88,100,Well Drained
KENTUCKY,MCCRACKEN,Sandy Loam,6.09,2.97,125,Poorly Drained
KENTUCKY,TRIGG,Clay,6.36,1.78,75,Moderately Drained
LOUISIANA,OTHER COUNTIES,Silt,5.84,3.61,100,Moderately Drained
LOUISIANA,AVOYELLES,Loam,5.65,4.12,100,Moderately Drained
LOUISIANA,CATAHOULA,Sandy Loam,7.07,4.17,125,Poorly Drained
LOUISIANA,CONCORDIA,Loam,6.03,3.41,100,Poorly Drained
LOUISIANA,RAPIDES,Sandy Loam,5.86,3.05,100,Well Drained
LOUISIANA,SAINT LANDRY,Loam,6.88,1.24,100,Moderately Drained
LOUISIANA,WASHINGTON,Sandy Loam,6.74,2.15,50,Poorly Drained
LOUISIANA,OUACHITA,Sandy Loam,6.77,1.37,50,Well Drained
LOUISIANA,EAST CARROLL,Clay,5.96,4.86,100,Moderately Drained
LOUISIANA,FRANKLIN,Sandy Loam,5.97,1.54,50,Poorly Drained
LOUISIANA,MADISON,Clay,5.94,1.61,75,Poorly Drained
LOUISIANA,MOREHOUSE,Sandy Loam,5.85,4.56,100,Well Drained
LOUISIANA,RICHLAND,Silt,6.81,4.78,75,Moderately Drained
LOUISIANA,TENSAS,Silt,7.2,4.06,125,Moderately Drained
LOUISIANA,WEST CARROLL,Silt,6.95,1.02,75,Poorly Drained
LOUISIANA,CADDO,Sandy Loam,7.08,1.01,125,Moderately Drained
LOUISIANA,RED RIVER,Clay,6.31,2.51,100,Well Drained
LOUISIANA,NATCHITOCHES,Clay,6.81,1.57,125,Poorly Drained
MARYLAND,OTHER COUNTIES,Sandy Loam,6.21,1.07,125,Poorly Drained
MARYLAND,DORCHESTER,Silt,6.55,2.86,75,Well Drained
MARYLAND,SOMERSET,Silt,6.46,4.77,75,Poorly Drained
MARYLAND,WICOMICO,Clay,5.85,2.3,75,Moderately Drained
MARYLAND,WORCESTER,Silt,6.27,3.64,100,Moderately Drained
MARYLAND,BALTIMORE,Loam,7.43,3.61,100,Poorly Drained
MARYLAND,CARROLL,Clay,6.0,2.0,75,Well Drained
MARYLAND,FREDERICK,Silt,5.77,3.6,100,Well Drained
MARYLAND,HOWARD,Clay,6.34,1.85,100,Moderately Drained
MARYLAND,MONTGOMERY,Loam,7.08,1.49,125,Well Drained
MARYLAND,WASHINGTON,Clay,6.66,3.81,125,Poorly Drained
MARYLAND,ANNE ARUNDEL,Clay,6.86,1.45,75,Poorly Drained
MARYLAND,CALVERT,Clay,5.88,4.99,100,Moderately Drained
MARYLAND,CHARLES,Clay,6.74,1.73,125,Moderately Drained
MARYLAND,PRINCE GEORGES,Loam,6.15,3.38,50,Moderately Drained
MARYLAND,CAROLINE,Sandy Loam,7.17,2.65,100,Well Drained
MARYLAND,CECIL,Clay,6.76,1.51,50,Poorly Drained
MARYLAND,KENT,Clay,5.9,1.11,75,Poorly Drained
MARYLAND,QUEEN ANNES,Silt,5.63,3.49,100,Poorly Drained
MARYLAND,TALBOT,Clay,5.59,4.23,75,Moderately Drained
MARYLAND,GARRETT,Silt,6.24,4.37,75,Poorly Drained
MICHIGAN,OTHER COUNTIES,Sandy Loam,6.03,2.93,75,Well Drained
MICHIGAN,GLADWIN,Loam,6.79,4.11,75,Well Drained
MICHIGAN,GRATIOT,Loam,6.5,3.69,75,Poorly Drained
MICHIGAN,ISABELLA,Sandy Loam,6.03,3.9,100,Moderately Drained
MICHIGAN,MECOSTA,Loam,5.8,2.97,50,Poorly Drained
MICHIGAN,MIDLAND,Sandy Loam,5.75,3.53,100,Well Drained
MICHIGAN,MONTCALM,Sandy Loam,7.23,4.22,100,Well Drained
MICHIGAN,ARENAC,Sandy Loam,5.99,2.59,100,Well Drained
MICHIGAN,BAY,Loam,6.8,4.22,125,Poorly Drained
MICHIGAN,HURON,Silt,7.12,3.37,125,Well Drained
MICHIGAN,SAGINAW,Sandy Loam,6.73,1.66,100,Moderately Drained
MICHIGAN,SANILAC,Clay,7.22,1.1,50,Poorly Drained
MICHIGAN,TUSCOLA,Loam,6.28,2.45,100,Poorly Drained
MICHIGAN,ALPENA,Sandy Loam,7.41,3.19,75,Well Drained
MICHIGAN,MONTMORENCY,Sandy Loam,5.77,4.36,125,Well Drained
MICHIGAN,OGEMAW,Clay,5.7,1.51,125,Moderately Drained
MICHIGAN,OTSEGO,Silt,6.82,4.2,100,Poorly Drained
MICHIGAN,PRESQUE ISLE,Silt,7.39,4.45,100,Well Drained
MICHIGAN,ANTRIM,Silt,7.12,1.6,50,Moderately Drained
MICHIGAN,BENZIE,Sandy Loam,5.65,4.41,50,Well Drained
MICHIGAN,CHARLEVOIX,Sandy Loam,6.06,4.97,75,Poorly Drained
MICHIGAN,EMMET,Sandy Loam,7.36,3.91,100,Well Drained
MICHIGAN,GRAND TRAVERSE,Loam,6.01,4.14,100,Poorly Drained
MICHIGAN,LEELANAU,Clay,7.06,4.98,100,Well Drained
MICHIGAN,MANISTEE,Sandy Loam,7.15,3.42,125,Poorly Drained
MICHIGAN,MISSAUKEE,Clay,6.49,2.23,75,Moderately Drained
MICHIGAN,BARRY,Clay,6.27,4.35,50,Poorly Drained
MICHIGAN,BRANCH,Silt,6.4,3.46,125,Moderately Drained
MICHIGAN,CALHOUN,Loam,5.95,3.32,125,Poorly Drained
MICHIGAN,EATON,Sandy Loam,7.28,2.01,125,Moderately Drained
MICHIGAN,HILLSDALE,Silt,6.4,4.03,125,Well Drained
MICHIGAN,INGHAM,Silt,7.26,1.33,75,Poorly Drained
MICHIGAN,IONIA,Sandy Loam,5.71,4.7,100,Well Drained
MICHIGAN,JACKSON,Clay,7.48,2.3,50,Moderately Drained
MICHIGAN,SHIAWASSEE,Silt,6.39,1.51,50,Poorly Drained
MICHIGAN,ST JOSEPH,Clay,5.6,2.77,125,Poorly Drained
MICHIGAN,GENESEE,Loam,5.58,1.17,125,Well Drained
MICHIGAN,LAPEER,Clay,6.99,3.74,75,Poorly Drained
MICHIGAN,LENAWEE,Loam,6.82,4.61,125,Poorly Drained
MICHIGAN,LIVINGSTON,Clay,7.1,4.35,50,Well Drained
MICHIGAN,MACOMB,Silt,5.71,1.51,50,Poorly Drained
MICHIGAN,MONROE,Silt,5.57,1.51,100,Well Drained
MICHIGAN,OAKLAND,Loam,6.52,4.25,100,Well Drained
MICHIGAN,ST CLAIR,Sandy Loam,6.28,4.7,50,Well Drained
MICHIGAN,WASHTENAW,Loam,6.42,2.84,50,Well Drained
MICHIGAN,WAYNE,Loam,7.48,3.0,75,Well Drained
MICHIGAN,ALLEGAN,Clay,7.44,2.27,75,Moderately Drained
MICHIGAN,CASS,Clay,7.38,4.58,50,Moderately Drained
MICHIGAN,KALAMAZOO,Loam,7.07,3.58,125,Well Drained
MICHIGAN,KENT,Silt,6.21,2.15,100,Moderately Drained
MICHIGAN,OTTAWA,Clay,6.32,2.2,50,Moderately Drained
MICHIGAN,VAN BUREN,Sandy Loam,6.6,4.56,125,Poorly Drained
MICHIGAN,DICKINSON,Clay,7.16,1.05,50,Well Drained
MICHIGAN,MENOMINEE,Clay,5.64,2.29,100,Moderately Drained
MICHIGAN,MASON,Sandy Loam,6.35,3.22,100,Poorly Drained
MICHIGAN,MUSKEGON,Loam,5.67,1.59,75,Poorly Drained
MICHIGAN,NEWAYGO,Sandy Loam,6.53,1.37,75,Well Drained
MICHIGAN,OCEANA,Loam,7.3,4.26,75,Well Drained
MINNESOTA,OTHER COUNTIES,Loam,7.06,4.58,75,Poorly Drained
MINNESOTA,BENTON,Loam,5.96,4.29,100,Well Drained
MINNESOTA,CARVER,Sandy Loam,7.45,4.6,125,Well Drained
MINNESOTA,KANDIYOHI,Loam,6.83,3.21,125,Poorly Drained
MINNESOTA,MCLEOD,Silt,5.52,4.25,125,Poorly Drained
MINNESOTA,MEEKER,Sandy Loam,6.01,2.54,50,Well Drained
MINNESOTA,MORRISON,Silt,6.02,3.67,75,Moderately Drained
MINNESOTA,RENVILLE,Loam,5.64,4.96,75,Well Drained
MINNESOTA,SCOTT,Clay,7.42,1.9,100,Moderately Drained
MINNESOTA,SHERBURNE,Loam,6.46,2.56,100,Poorly Drained
MINNESOTA,SIBLEY,Silt,7.29,2.92,50,Moderately Drained
MINNESOTA,STEARNS,Silt,6.14,1.55,50,Poorly Drained
MINNESOTA,TODD,Sandy Loam,5.75,1.32,125,Well Drained
MINNESOTA,WADENA,Clay,6.45,4.32,100,Well Drained
MINNESOTA,WRIGHT,Sandy Loam,5.73,4.91,75,Poorly Drained
MINNESOTA,AITKIN,Silt,6.47,2.62,125,Poorly Drained
MINNESOTA,CARLTON,Loam,7.34,1.35,75,Poorly Drained
MINNESOTA,CHISAGO,Clay,6.54,1.26,125,Well Drained
MINNESOTA,CROW WING,Loam,6.73,4.57,75,Well Drained
MINNESOTA,ISANTI,Loam,5.81,2.86,50,Moderately Drained
MINNESOTA,MILLE LACS,Clay,5.59,2.28,125,Poorly Drained
MINNESOTA,PINE,Sandy Loam,5.72,2.91,75,Moderately Drained
MINNESOTA,WASHINGTON,Loam,6.7,2.27,75,Well Drained
MINNESOTA,CASS,Silt,5.69,2.96,100,Moderately Drained
MINNESOTA,BECKER,Loam,6.25,4.44,125,Moderately Drained
MINNESOTA,CLAY,Clay,6.6,3.37,75,Well Drained
MINNESOTA,MAHNOMEN,Clay,6.28,3.78,100,Well Drained
MINNESOTA,MARSHALL,Clay,5.83,2.46,75,Poorly Drained
MINNESOTA,NORMAN,Sandy Loam,6.05,3.95,125,Moderately Drained
MINNESOTA,POLK,Loam,7.36,3.67,50,Well Drained
MINNESOTA,RED LAKE,Sandy Loam,6.85,1.48,125,Well Drained
MINNESOTA,BLUE EARTH,Sandy Loam,6.49,3.29,125,Moderately Drained
MINNESOTA,BROWN,Clay,5.53,2.03,75,Well Drained
MINNESOTA,FREEBORN,Clay,7.48,4.22,75,Poorly Drained
MINNESOTA,LE SUEUR,Sandy Loam,6.84,2.7,125,Poorly Drained
MINNESOTA,NICOLLET,Loam,6.13,4.98,100,Moderately Drained
MINNESOTA,RICE,Silt,7.26,1.37,100,Poorly Drained
MINNESOTA,STEELE,Sandy Loam,6.02,4.12,100,Well Drained
MINNESOTA,WASECA,Loam,6.59,3.69,75,Well Drained
MINNESOTA,WATONWAN,Clay,6.77,4.07,75,Well Drained
MINNESOTA,DAKOTA,Clay,5.94,2.23,125,Well Drained
MINNESOTA,DODGE,Loam,7.46,2.97,50,Moderately Drained
MINNESOTA,FILLMORE,Silt,7.0,4.19,75,Poorly Drained
MINNESOTA,GOODHUE,Clay,6.62,1.93,125,Poorly Drained
MINNESOTA,HOUSTON,Clay,5.86,1.9,125,Well Drained
MINNESOTA,MOWER,Clay,5.61,3.2,50,Moderately Drained
MINNESOTA,OLMSTED,Loam,6.14,3.09,100,Well Drained
MINNESOTA,WINONA,Sandy Loam,7.01,2.13,125,Well Drained
MINNESOTA,COTTONWOOD,Clay,6.04,2.19,125,Moderately Drained
MINNESOTA,JACKSON,Sandy Loam,6.58,2.11,125,Moderately Drained
MINNESOTA,LINCOLN,Silt,6.96,4.09,100,Well Drained
MINNESOTA,NOBLES,Clay,5.72,3.61,100,Poorly Drained
MINNESOTA,PIPESTONE,Clay,6.87,4.33,50,Well Drained
MINNESOTA,REDWOOD,Silt,5.68,4.9,75,Poorly Drained
MINNESOTA,BIG STONE,Clay,7.43,2.9,100,Poorly Drained
MINNESOTA,CHIPPEWA,Sandy Loam,6.48,1.27,75,Moderately Drained
MINNESOTA,GRANT,Loam,5.8,1.19,75,Moderately Drained
MINNESOTA,LAC QUI PARLE,Sandy Loam,6.18,2.18,100,Well Drained
MINNESOTA,OTTER TAIL,Loam,6.33,4.73,125,Poorly Drained
MINNESOTA,POPE,Loam,7.02,3.09,50,Poorly Drained
MINNESOTA,STEVENS,Sandy Loam,6.99,2.09,75,Well Drained
MINNESOTA,SWIFT,Sandy Loam,6.72,2.6,125,Well Drained
MINNESOTA,TRAVERSE,Sandy Loam,5.71,3.39,100,Well Drained
MINNESOTA,WILKIN,Sandy Loam,5.8,3.61,75,Moderately Drained
MINNESOTA,YELLOW MEDICINE,Silt,5.69,1.62,75,Well Drained
MISSISSIPPI,OTHER COUNTIES,Clay,6.65,4.91,75,Well Drained
MISSISSIPPI,CARROLL,Loam,7.25,3.18,125,Poorly Drained
MISSISSIPPI,HOLMES,Sandy Loam,6.37,1.54,125,Well Drained
MISSISSIPPI,MADISON,Sandy Loam,5.82,4.57,125,Poorly Drained
MISSISSIPPI,MONTGOMERY,Sandy Loam,6.62,1.3,75,Poorly Drained
MISSISSIPPI,RANKIN,Silt,7.12,4.63,75,Moderately Drained
MISSISSIPPI,WEBSTER,Sandy Loam,6.98,4.99,50,Well Drained
MISSISSIPPI,CHICKASAW,Sandy Loam,7.26,3.8,50,Well Drained
MISSISSIPPI,CLAY,Sandy Loam,6.06,4.08,125,Poorly Drained
MISSISSIPPI,LOWNDES,Clay,5.89,2.35,125,Moderately Drained
MISSISSIPPI,MONROE,Silt,7.26,4.77,100,Moderately Drained
MISSISSIPPI,NOXUBEE,Sandy Loam,6.82,3.12,125,Well Drained
MISSISSIPPI,HUMPHREYS,Loam,6.12,3.93,50,Poorly Drained
MISSISSIPPI,ISSAQUENA,Loam,6.98,4.7,50,Well Drained
MISSISSIPPI,LEFLORE,Loam,7.13,4.9,50,Well Drained
MISSISSIPPI,SHARKEY,Silt,6.73,4.33,75,Well Drained
MISSISSIPPI,SUNFLOWER,Silt,6.88,2.21,75,Well Drained
MISSISSIPPI,WASHINGTON,Loam,6.25,4.87,125,Poorly Drained
MISSISSIPPI,YAZOO,Sandy Loam,6.58,3.51,100,Moderately Drained
MISSISSIPPI,CALHOUN,Silt,6.55,4.72,100,Well Drained
MISSISSIPPI,LAFAYETTE,Loam,7.2,3.7,100,Well Drained
MISSISSIPPI,LEE,Loam,7.18,2.23,75,Well Drained
MISSISSIPPI,PRENTISS,Sandy Loam,7.17,2.48,50,Well Drained
MISSISSIPPI,TIPPAH,Clay,5.52,3.2,50,Moderately Drained
MISSISSIPPI,WALTHALL,Silt,7.0,4.16,75,Moderately Drained
MISSISSIPPI,STONE,Sandy Loam,7.02,2.27,100,Moderately Drained
MISSISSIPPI,CLAIBORNE,Loam,6.86,3.32,100,Moderately Drained
MISSISSIPPI,HINDS,Loam,7.01,2.38,125,Well Drained
MISSISSIPPI,WARREN,Sandy Loam,7.18,4.26,125,Poorly Drained
MISSISSIPPI,BOLIVAR,Silt,6.44,2.87,100,Moderately Drained
MISSISSIPPI,COAHOMA,Clay,6.5,1.31,75,Moderately Drained
MISSISSIPPI,TALLAHATCHIE,Clay,5.75,1.66,100,Well Drained
MISSISSIPPI,TUNICA,Loam,6.27,1.24,125,Well Drained
MISSOURI,OTHER COUNTIES,Silt,6.79,3.0,100,Well Drained
MISSOURI,BOONE,Clay,7.06,1.43,75,Well Drained
MISSOURI,CALLAWAY,Silt,5.93,1.46,50,Poorly Drained
MISSOURI,COLE,Silt,5.78,4.76,75,Poorly Drained
MISSOURI,COOPER,Loam,6.83,4.49,75,Moderately Drained
MISSOURI,DALLAS,Clay,5.5,2.81,125,Poorly Drained
MISSOURI,HICKORY,Sandy Loam,5.86,4.94,75,Moderately Drained
MISSOURI,HOWARD,Loam,5.56,1.0,75,Moderately Drained
MISSOURI,LACLEDE,Clay,5.83,3.46,125,Poorly Drained
MISSOURI,MARIES,Clay,5.86,3.47,125,Moderately Drained
MISSOURI,MILLER,Clay,6.28,2.83,50,Well Drained
MISSOURI,MONITEAU,Clay,6.3,2.59,100,Moderately Drained
MISSOURI,OSAGE,Clay,7.25,2.82,75,Well Drained
MISSOURI,PETTIS,Silt,6.52,2.66,125,Poorly Drained
MISSOURI,POLK,Loam,6.95,3.92,50,Poorly Drained
MISSOURI,SALINE,Silt,5.71,1.54,100,Moderately Drained
MISSOURI,FRANKLIN,Sandy Loam,5.95,1.79,125,Well Drained
MISSOURI,GASCONADE,Clay,6.91,1.72,100,Moderately Drained
MISSOURI,JEFFERSON,Loam,5.61,2.05,100,Poorly Drained
MISSOURI,LINCOLN,Clay,6.47,3.1,75,Moderately Drained
MISSOURI,MONTGOMERY,Loam,6.7,1.44,75,Moderately Drained
MISSOURI,PERRY,Silt,6.7,4.47,125,Well Drained
MISSOURI,ST CHARLES,Loam,5.55,2.19,100,Poorly Drained
MISSOURI,ST FRANCOIS,Sandy Loam,6.14,1.65,125,Moderately Drained
MISSOURI,STE GENEVIEVE,Sandy Loam,6.77,3.7,125,Well Drained
MISSOURI,WARREN,Loam,5.8,1.15,100,Moderately Drained
